datetime,city,state,number,country,shape,duration(seconds),duration(hours/min),comments,dateposted,latitude,longitude
10/31/1983 19:00,rochester,nh,1,United States,diamond,1800,30 min approx,Elongated diamond shaped&#44 platinum silver disc with various colored lights aligning the perimeter of the disc...,10/20/2005,43.3044444,-70.9761111
10/31/1985 20:30,new york city,ny,1,United States,disk,15,15 seconds,Disk Shaped object streaked across Central Park,3/21/2003,40.7141667,-74.0063889
10/31/1986 03:00,riverdale,ga,1,United States,other,180,3 minutes,Many witnesses to ufo sighting,3/19/2009,33.5725,-84.4133333
10/31/1987 18:30,omaha (near),ar,1,United States,triangle,900,15 minutes,Silent huge triangular ship flies right over highway 65 North.,1/16/2014,36.4522222,-93.1883333
10/31/1988 04:00,tacoma,wa,1,United States,disk,45,45 seconds,TWO CIRCULAR OBJECTS&#44 CIRCLING AROUND EACH OTHER&#44 SOMTIMES GOING SO HIGH&#44 AND SOMETIMES TOO CLOSE&#44 IN SOUNDLESS UNUSUAL SPEED.COMPARING,06-06-00,47.2530556,-122.4430556
10/31/1988 22:00,tryon (north of),ok,1,United States,triangle,420,5-7 minutes,Large&#44 silent&#44 triangular object with huge beam of orange light coming from the underside of the craft viewed by several witnesses.,5/24/2005,35.8697222,-96.9636111
10/31/1989 18:30,el jebel,co,1,United States,unknown,5,5 seconds,Briefly observed black&#44 silent&#44 slow-moving object low enough to reflect ground lights from bottom&#44 convex surface.,04-02-99,39.395,-107.0897222
10/31/1990 17:00,petit jean mountain,ar,1,Unknown,light,420,7 minutes,Unexplained low-flying white light moving through night air.,07-04-12,35.022871,-93.699918
10/31/1990 18:30,friendship,md,1,United States,disk,60,30seconds to 1 minute,I saw a saucer shaped&#44 somewhat transparent object moving through the air very slowly about 200 feet from my house for about 1 minute.,6/18/2003,38.7366667,-76.5897222
10/31/1991 13:30,boulder (10 miles west),co,1,United States,circle,45,30 to 45 seconds,Two glowing translucent spheres chasing and playing &quot;tag&quot; in the trees&#44 one landed&#44 one flew away.,1/21/2008,40.015,-105.27
